Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank,Year,Institute_ID,UG_Students,Total_Students,Capital_Expenditure,Operational_Expenditure,Total_Expenditure,WOS_Publications,WOS_Citations,Scopus_Publications
IR-2-O-OD-I-1441,Saveetha Institute of Medical and Technical Sciences,65.4,18.67,60.34,63.92,3.17,Chennai,Tamil Nadu,44.0,70,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0196,University of Kashmir,62.39,20.08,77.61,36.99,0.0,Srinagar,Jammu and Kashmir,43.96,71,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0642,Shiv Nadar University,69.21,12.55,60.17,71.18,0.0,Chithera,Uttar Pradesh,43.68,72,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,62.51,20.31,62.21,52.43,10.82,Kancheepuram,Tamil Nadu,43.6,73,2018,IR-1-E-E-C-16604,2774.0,2912.0,65559261.0,667143416.0,732702677.0,717.0,1007.0,852.0
IR-2-O-OE-U-0037,Sri Venkateswara University,60.43,25.94,61.66,50.03,2.01,Tirupati,Andhra Pradesh,43.44,74,2018,IR-2-E-OE-U-0037,771.0,989.0,7460756.0,140725042.0,148185798.0,502.0,2112.0,657.0
IR-1-O-D-C-45515,PSG Institute of Medical Sciences & Research,82.71,2.12,58.65,50.06,10.5,Coimbatore,Tamil Nadu,43.24,75,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,78.3,8.04,65.06,41.03,2.01,Hisar,Haryana,43.21,76,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-3-O-OML-U-0195,University of Jammu,65.22,18.9,69.46,39.44,1.22,Jammu Tawi,Jammu and Kashmir,43.19,77,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-2-O-OE-U-0025,National Institute of Technology Warangal,56.18,22.73,67.06,54.72,6.11,Warangal,Telangana,43.16,78,2018,IR-2-E-OE-U-0025,2779.0,3570.0,154568900.0,1113409631.0,1267978531.0,839.0,1926.0,888.0
IR-2-O-OD-I-1110,Dr. D. Y. Patil Vidyapeeth,76.37,8.25,56.74,62.9,1.22,Pune,Maharashtra,43.15,79,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-6-O-OEMALP-U-0497,Amity University,48.75,30.1,62.95,62.11,5.4,Gautam Budh Nagar,Uttar Pradesh,42.99,80,2018,IR-6-E-OEMALP-U-0497,6916.0,7287.0,45665364.0,1721349852.0,1767015216.0,1271.0,1813.0,1685.0
IR-1-O-O-U-0463,Madurai Kamraj University,61.57,28.03,49.87,45.12,16.18,Madurai,Tamil Nadu,42.98,81,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-6-O-OEMAPC-N-10,SVKM`s Narsee Monjee Institute of Management Studies,65.29,12.61,63.9,65.69,0.81,Mumbai,Maharashtra,42.8,82,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-2-O-EM-U-0020,Koneru Lakshmaiah Education Foundation University,65.81,15.23,62.65,59.43,0.0,Vaddeswaram,Andhra Pradesh,42.78,83,2018,IR-2-E-EM-U-0020,14163.0,14593.0,269045388.0,831439051.0,1100484439.0,300.0,302.0,1137.0
IR-1-O-O-U-0225,KLE Academy of Higher Education and Research,74.67,11.37,50.08,66.52,2.79,Belagavi,Karnataka,42.76,84,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0246,University of Agricultural Sciences,73.71,2.64,70.63,54.04,1.22,Dharwad,Karnataka,42.55,85,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0376,Guru Nanak Dev University,44.09,31.78,70.3,48.22,7.17,Amritsar,Punjab,42.36,86,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-3-O-OEM-U-0369,Pondicherry University,46.64,26.49,69.92,49.6,14.76,Puducherry,Pondicherry,42.36,86,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0341,North Eastern Hill University,64.85,13.43,70.21,43.1,5.03,Shillong,Meghalaya,42.34,88,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-D-U-0036,Sri Venkateswara Institute of Medical Sciences,77.09,3.0,64.64,53.34,0.41,Tirupati,Andhra Pradesh,42.33,89,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-2-O-OE-U-0507,Dayalbagh Educational Institute,64.14,5.05,69.03,61.36,12.38,Agra,Uttar Pradesh,41.95,90,2018,IR-2-E-OE-U-0507,856.0,919.0,10985249.0,68821090.0,79806339.0,141.0,470.0,140.0
IR-4-O-OEMP-U-0389,Banasthali Vidyapith,47.08,14.16,82.05,66.66,4.3,Banasthali,Rajasthan,41.88,91,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,74.76,7.95,58.9,47.51,3.93,Chennai,Tamil Nadu,41.73,92,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-I-1361,Bharati Vidyapeeth,58.92,16.06,61.04,55.26,14.76,Pune,Maharashtra,41.71,93,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0448,Bharathidasan University,57.01,29.21,48.45,34.45,26.3,Tiruchirappalli,Tamil Nadu,41.63,94,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-3-O-OEA-C-26794,Thiagarajar College of Engineering,57.09,19.19,61.91,46.95,14.46,Madurai,Tamil Nadu,41.41,95,2018,IR-3-E-OEA-C-26794,2448.0,2653.0,34626000.0,306164284.0,340790284.0,500.0,1568.0,674.0
IR-1-O-E-C-41593,College of Engineering,55.86,17.22,62.43,51.12,12.07,Pune,Maharashtra,40.74,96,2018,IR-1-E-E-C-41593,2755.0,3460.0,194229564.0,678381535.0,872611099.0,514.0,509.0,897.0
IR-1-O-D-C-47762,Mahatma Gandhi Medical College and Research Institute,72.43,5.83,50.15,69.66,2.4,Puducherry,Pondicherry,40.72,97,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0121,Goa University,59.83,13.77,66.09,51.58,2.01,Goa,Goa,40.66,98,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-1-O-O-U-0253,Cochin University of Science and Technology,47.72,24.36,62.94,44.19,18.88,Cochin,Kerala,40.53,99,2018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-2-O-OE-U-0098,Delhi Technological University,47.77,24.12,62.86,48.83,15.04,New Delhi,Delhi,40.52,100,2018,IR-2-E-OE-U-0098,6174.0,6808.0,84278421.0,666797966.0,751076387.0,862.0,2429.0,998.0
IR-O-U-0456,Indian Institute of Technology Madras,84.56,83.53,87.13,66.08,94.14,Chennai,Tamil Nadu,83.88,1,2019,IR-E-U-0456,466.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0220,Indian Institute of Science,83.16,89.24,78.57,48.47,100.0,Bengaluru,Karnataka,82.28,2,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-I-1074,Indian Institute of Technology Delhi,78.3,82.98,79.14,58.58,86.14,New Delhi,Delhi,78.69,3,2019,IR-E-I-1074,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0306,Indian Institute of Technology Bombay,76.95,84.36,82.31,50.68,86.92,Mumbai,Maharashtra,78.62,4,2019,IR-E-U-0306,717.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0573,Indian Institute of Technology Kharagpur,67.36,76.65,86.17,60.63,78.11,Kharagpur,West Bengal,74.31,5,2019,IR-E-U-0573,656.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-I-1075,Indian Institute of Technology Kanpur,71.95,69.61,69.96,50.39,75.68,Kanpur,Uttar Pradesh,69.07,6,2019,IR-E-I-1075,827.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0109,Jawaharlal Nehru University,76.75,41.85,99.87,75.87,55.27,New Delhi,Delhi,68.68,7,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0560,Indian Institute of Technology Roorkee,67.32,65.08,87.14,61.64,43.66,Roorkee,Uttarakhand,67.68,8,2019,IR-E-U-0560,845.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0053,Indian Institute of Technology Guwahati,76.79,56.58,73.87,60.63,46.34,Guwahati,Assam,65.47,9,2019,IR-E-U-0053,660.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0500,Banaras Hindu University,69.72,46.48,96.37,57.01,47.28,Varanasi,Uttar Pradesh,64.55,10,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0042,University of Hyderabad,74.81,43.78,83.64,58.77,36.71,Hyderabad,Telangana,61.85,11,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0570,Calcutta University,62.26,47.1,91.54,60.14,37.39,Kolkata,West Bengal,60.87,12,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0575,Jadavpur University,54.4,54.89,90.28,44.95,51.83,Kolkata,West Bengal,60.53,13,2019,IR-E-U-0575,1079.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0439,Anna University,56.39,54.1,78.07,53.16,62.72,Chennai,Tamil Nadu,60.35,14,2019,IR-E-U-0439,2740.0,2740.0,0.0,0.0,0.0,0.0,0.0,0.0
IR-O-U-0436,Amrita Vishwa Vidyapeetham,73.03,43.77,70.28,70.23,31.01,Coimbatore,Tamil Nadu,59.22,15,2019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
